business_id,scenario_id,description,impact_revenue,impact_profit,notes
UAE_009,SCEN_UAE_009_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_010,SCEN_UAE_010_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_010,SCEN_UAE_010_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_011,SCEN_UAE_011_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_011,SCEN_UAE_011_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_012,SCEN_UAE_012_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_012,SCEN_UAE_012_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_013,SCEN_UAE_013_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_013,SCEN_UAE_013_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_014,SCEN_UAE_014_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_014,SCEN_UAE_014_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_015,SCEN_UAE_015_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_015,SCEN_UAE_015_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_016,SCEN_UAE_016_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_016,SCEN_UAE_016_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_017,SCEN_UAE_017_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_017,SCEN_UAE_017_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_018,SCEN_UAE_018_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_018,SCEN_UAE_018_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_019,SCEN_UAE_019_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_019,SCEN_UAE_019_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_020,SCEN_UAE_020_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_020,SCEN_UAE_020_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_021,SCEN_UAE_021_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_021,SCEN_UAE_021_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_022,SCEN_UAE_022_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_022,SCEN_UAE_022_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_023,SCEN_UAE_023_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_023,SCEN_UAE_023_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_024,SCEN_UAE_024_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_024,SCEN_UAE_024_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_025,SCEN_UAE_025_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_025,SCEN_UAE_025_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_026,SCEN_UAE_026_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_026,SCEN_UAE_026_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_027,SCEN_UAE_027_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_027,SCEN_UAE_027_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_028,SCEN_UAE_028_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_028,SCEN_UAE_028_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_029,SCEN_UAE_029_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_029,SCEN_UAE_029_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_030,SCEN_UAE_030_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_030,SCEN_UAE_030_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_031,SCEN_UAE_031_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_031,SCEN_UAE_031_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_032,SCEN_UAE_032_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_032,SCEN_UAE_032_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_033,SCEN_UAE_033_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_033,SCEN_UAE_033_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_034,SCEN_UAE_034_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_034,SCEN_UAE_034_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_035,SCEN_UAE_035_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_035,SCEN_UAE_035_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_036,SCEN_UAE_036_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_036,SCEN_UAE_036_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_037,SCEN_UAE_037_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_037,SCEN_UAE_037_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_038,SCEN_UAE_038_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_038,SCEN_UAE_038_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_039,SCEN_UAE_039_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_039,SCEN_UAE_039_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_040,SCEN_UAE_040_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_040,SCEN_UAE_040_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_041,SCEN_UAE_041_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_041,SCEN_UAE_041_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_042,SCEN_UAE_042_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_042,SCEN_UAE_042_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_043,SCEN_UAE_043_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_043,SCEN_UAE_043_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_044,SCEN_UAE_044_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_044,SCEN_UAE_044_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_045,SCEN_UAE_045_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_045,SCEN_UAE_045_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_046,SCEN_UAE_046_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_046,SCEN_UAE_046_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_047,SCEN_UAE_047_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_047,SCEN_UAE_047_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_048,SCEN_UAE_048_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_048,SCEN_UAE_048_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_049,SCEN_UAE_049_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_049,SCEN_UAE_049_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_050,SCEN_UAE_050_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_050,SCEN_UAE_050_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_051,SCEN_UAE_051_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_051,SCEN_UAE_051_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_052,SCEN_UAE_052_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_052,SCEN_UAE_052_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_053,SCEN_UAE_053_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_053,SCEN_UAE_053_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_054,SCEN_UAE_054_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_054,SCEN_UAE_054_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_055,SCEN_UAE_055_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_055,SCEN_UAE_055_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_056,SCEN_UAE_056_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_056,SCEN_UAE_056_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_057,SCEN_UAE_057_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_057,SCEN_UAE_057_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_058,SCEN_UAE_058_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_058,SCEN_UAE_058_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_059,SCEN_UAE_059_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_059,SCEN_UAE_059_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_060,SCEN_UAE_060_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_060,SCEN_UAE_060_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_061,SCEN_UAE_061_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_061,SCEN_UAE_061_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_062,SCEN_UAE_062_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_062,SCEN_UAE_062_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_063,SCEN_UAE_063_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_063,SCEN_UAE_063_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_064,SCEN_UAE_064_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_064,SCEN_UAE_064_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_065,SCEN_UAE_065_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_065,SCEN_UAE_065_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_066,SCEN_UAE_066_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_066,SCEN_UAE_066_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_067,SCEN_UAE_067_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_067,SCEN_UAE_067_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_068,SCEN_UAE_068_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_068,SCEN_UAE_068_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_069,SCEN_UAE_069_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_069,SCEN_UAE_069_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_070,SCEN_UAE_070_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_070,SCEN_UAE_070_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_071,SCEN_UAE_071_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_071,SCEN_UAE_071_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_072,SCEN_UAE_072_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_072,SCEN_UAE_072_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_073,SCEN_UAE_073_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_073,SCEN_UAE_073_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_074,SCEN_UAE_074_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_074,SCEN_UAE_074_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_075,SCEN_UAE_075_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_075,SCEN_UAE_075_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_076,SCEN_UAE_076_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_076,SCEN_UAE_076_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_077,SCEN_UAE_077_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_077,SCEN_UAE_077_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_078,SCEN_UAE_078_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_078,SCEN_UAE_078_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_079,SCEN_UAE_079_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_079,SCEN_UAE_079_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_080,SCEN_UAE_080_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_080,SCEN_UAE_080_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_081,SCEN_UAE_081_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_081,SCEN_UAE_081_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_082,SCEN_UAE_082_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_082,SCEN_UAE_082_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_083,SCEN_UAE_083_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_083,SCEN_UAE_083_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_084,SCEN_UAE_084_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_084,SCEN_UAE_084_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_085,SCEN_UAE_085_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_085,SCEN_UAE_085_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_086,SCEN_UAE_086_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_086,SCEN_UAE_086_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_087,SCEN_UAE_087_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_087,SCEN_UAE_087_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_088,SCEN_UAE_088_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_088,SCEN_UAE_088_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_089,SCEN_UAE_089_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_089,SCEN_UAE_089_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_090,SCEN_UAE_090_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_090,SCEN_UAE_090_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_091,SCEN_UAE_091_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_091,SCEN_UAE_091_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_092,SCEN_UAE_092_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_092,SCEN_UAE_092_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_093,SCEN_UAE_093_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_093,SCEN_UAE_093_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_094,SCEN_UAE_094_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_094,SCEN_UAE_094_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_095,SCEN_UAE_095_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_095,SCEN_UAE_095_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_096,SCEN_UAE_096_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_096,SCEN_UAE_096_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_097,SCEN_UAE_097_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_097,SCEN_UAE_097_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_098,SCEN_UAE_098_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_098,SCEN_UAE_098_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_099,SCEN_UAE_099_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_099,SCEN_UAE_099_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_100,SCEN_UAE_100_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_100,SCEN_UAE_100_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_101,SCEN_UAE_101_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_101,SCEN_UAE_101_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_102,SCEN_UAE_102_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_102,SCEN_UAE_102_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_103,SCEN_UAE_103_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_103,SCEN_UAE_103_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_104,SCEN_UAE_104_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_104,SCEN_UAE_104_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_105,SCEN_UAE_105_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_105,SCEN_UAE_105_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_106,SCEN_UAE_106_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_106,SCEN_UAE_106_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_107,SCEN_UAE_107_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_107,SCEN_UAE_107_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_108,SCEN_UAE_108_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_108,SCEN_UAE_108_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_109,SCEN_UAE_109_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_109,SCEN_UAE_109_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_110,SCEN_UAE_110_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_110,SCEN_UAE_110_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_111,SCEN_UAE_111_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_111,SCEN_UAE_111_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_112,SCEN_UAE_112_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_112,SCEN_UAE_112_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_113,SCEN_UAE_113_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_113,SCEN_UAE_113_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_114,SCEN_UAE_114_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_114,SCEN_UAE_114_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_115,SCEN_UAE_115_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_115,SCEN_UAE_115_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_116,SCEN_UAE_116_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_116,SCEN_UAE_116_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_117,SCEN_UAE_117_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_117,SCEN_UAE_117_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_118,SCEN_UAE_118_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_118,SCEN_UAE_118_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
